Intent,FAQ,Answer,source,Link_embed
are_contact_lens_at_risk,Are contact lens wearers at risk of getting the virus?,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.
Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
are_contact_lens_at_risk,Are people who wear contacts more at risk of getting the virus?,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.
Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
are_contact_lens_at_risk,Am i at high risk if I wear contacts?,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.
Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
are_contact_lens_at_risk,Am I at risk of getting sick if I wear contact lenses?,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.
Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
are_contact_lens_at_risk,Am I more at risk if I wear contact lenses?,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.
Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Should I avoid taking some medications to prevent COVID-19?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Should I stop taking some medications if I get COVID-19?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Should I avoid taking certain medications to protect myself from COVID-19?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Are there any medications that make the virus worse or more likely?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Are there any medicines that can make it easier to get the virus?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Should I stop taking my medicine if I think it will make the virus more severe?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Can ibuprofen lead to a more severe infection?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_avoid_medications,Can naproxen lead to more serious sickness?,"Currently, there is no evidence to show that taking ibuprofen or naproxen can lead to a more severe infection of COVID-19.

People with high blood pressure should take their blood pressure medications, as directed, and work with their healthcare provider to make sure that their blood pressure is as well controlled as possible. Any changes to your medications should only be made by your healthcare provider.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_children_at_risk,Are children at risk of getting the virus?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. ",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_children_at_risk,Are my children at risk of getting COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. ",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_children_at_risk,Can my children get COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. ",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_children_at_risk,Can my children get sick?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. ",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_children_at_risk,Can kids get the coronavirus?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. ",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_children_at_risk,Can kids get sick from the virus?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. ",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_children_at_risk,Are kids are risk of getting sick?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. ",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_cleaning_products,What cleaning products should I use to protect against COVID-19?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cleaning-disinfection.html
ask_cleaning_products,What household cleaning products should I use?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cleaning-disinfection.html
ask_cleaning_products,What cleaning products protect against the coronavirus?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cleaning-disinfection.html
ask_cleaning_products,What disinfectants should I use?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cleaning-disinfection.html
ask_cleaning_products,What disinfectants should I use to clean my house?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks.  If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cleaning-disinfection.html
ask_disabled_at_risk,Are people with disabilities at higher risk?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.
You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_disabled_at_risk,Are disabled people at higher risk?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.
You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_disabled_at_risk,Are people with disabilities more at risk?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.
You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_disabled_at_risk,What if I am disabled?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.
You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_disabled_at_risk,Am I at risk if I am disabled?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.
You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_disabled_at_risk,Do I have a higher risk of getting the virus if I am a person with disabilities?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19.  Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition.

People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities.
You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed.",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,
ask_get_tested,Should I get tested?,"Not everyone needs to be tested for COVID-19. Here is some information that might help you make decisions about seeking medical care or testing.
CDC has guidance for who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians.
Most people have mild illness and are able to recover at home without medical care. They may not need to be tested.
There is no treatment specifically approved for people who have COVID-19.",https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html,https://www.cdc.gov/coronavirus/2019-ncov/hcp/index.html
ask_get_tested,When should someone get tested?,"Not everyone needs to be tested for COVID-19. Here is some information that might help you make decisions about seeking medical care or testing.
CDC has guidance for who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians.
Most people have mild illness and are able to recover at home without medical care. They may not need to be tested.
There is no treatment specifically approved for people who have COVID-19.",https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html,https://www.cdc.gov/coronavirus/2019-ncov/hcp/index.html
ask_get_tested,When should somebody get tested?,"Not everyone needs to be tested for COVID-19. Here is some information that might help you make decisions about seeking medical care or testing.
CDC has guidance for who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians.
Most people have mild illness and are able to recover at home without medical care. They may not need to be tested.
There is no treatment specifically approved for people who have COVID-19.",https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html,https://www.cdc.gov/coronavirus/2019-ncov/hcp/index.html
ask_get_tested,Should I get a test done?,"Not everyone needs to be tested for COVID-19. Here is some information that might help you make decisions about seeking medical care or testing.
CDC has guidance for who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians.
Most people have mild illness and are able to recover at home without medical care. They may not need to be tested.
There is no treatment specifically approved for people who have COVID-19.",https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html,https://www.cdc.gov/coronavirus/2019-ncov/hcp/index.html
ask_get_tested,How do I know if I should get tested?,"Not everyone needs to be tested for COVID-19. Here is some information that might help you make decisions about seeking medical care or testing.
CDC has guidance for who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians.
Most people have mild illness and are able to recover at home without medical care. They may not need to be tested.
There is no treatment specifically approved for people who have COVID-19.",https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html,https://www.cdc.gov/coronavirus/2019-ncov/hcp/index.html
ask_get_tested,Should everyone get tested?,"Not everyone needs to be tested for COVID-19. Here is some information that might help you make decisions about seeking medical care or testing.
CDC has guidance for who should be tested, but decisions about testing are at the discretion of state and local health departments and/or individual clinicians.
Most people have mild illness and are able to recover at home without medical care. They may not need to be tested.
There is no treatment specifically approved for people who have COVID-19.",https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/testing.html,https://www.cdc.gov/coronavirus/2019-ncov/hcp/index.html
ask_healthcare_professional_guidance,What should healthcare professionals or health departments do?,"For recommendations and guidance on persons under investigation; infection control, including personal protective equipment guidance; home care and isolation; and case investigation, see Information for Healthcare Professionals. For information on specimen collection and shipment, see Information for Laboratories. For information for public health professional on COVID-19, see Information for Public Health Professionals.

See also: FAQs for Healthcare Professionals",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-nCoV/hcp/clinical-criteria.html; https://www.cdc.gov/coronavirus/2019-nCoV/lab/index.html; https://www.cdc.gov/coronavirus/2019-ncov/php/index.html; https://www.cdc.gov/coronavirus/2019-ncov/hcp/faq.html
ask_healthcare_professional_guidance,What should healthcare professionals do?,"For recommendations and guidance on persons under investigation; infection control, including personal protective equipment guidance; home care and isolation; and case investigation, see Information for Healthcare Professionals. For information on specimen collection and shipment, see Information for Laboratories. For information for public health professional on COVID-19, see Information for Public Health Professionals.

See also: FAQs for Healthcare Professionals",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-nCoV/hcp/clinical-criteria.html; https://www.cdc.gov/coronavirus/2019-nCoV/lab/index.html; https://www.cdc.gov/coronavirus/2019-ncov/php/index.html; https://www.cdc.gov/coronavirus/2019-ncov/hcp/faq.html
ask_healthcare_professional_guidance,What should health departments do?,"For recommendations and guidance on persons under investigation; infection control, including personal protective equipment guidance; home care and isolation; and case investigation, see Information for Healthcare Professionals. For information on specimen collection and shipment, see Information for Laboratories. For information for public health professional on COVID-19, see Information for Public Health Professionals.

See also: FAQs for Healthcare Professionals",https://www.cdc.gov/coronavirus/2019-ncov/faq.html,https://www.cdc.gov/coronavirus/2019-nCoV/hcp/clinical-criteria.html; https://www.cdc.gov/coronavirus/2019-nCoV/lab/index.html; https://www.cdc.gov/coronavirus/2019-ncov/php/index.html; https://www.cdc.gov/coronavirus/2019-ncov/hcp/faq.html
